gvkey,fyear,datadate,act,at,che,cogs,dlc,dltt,dp,dpc,ib,lct,oancf,ppegt,ppent,rect,sale,xsga,nicon,sic
273542,2000,20010331,472.1720,543.9670,2.1390,44.5550,13.5310,0.0000,0.5380,0.2450,0.8110,339.7220,-140.4000,72.0410,71.7860,23.5750,62.9210,2.2600,1.1040,2300
273542,2001,20020331,945.5780,1121.5880,61.4580,2373.1010,53.4020,0.0000,27.8620,13.3960,374.2440,590.1960,251.3350,189.6510,176.0000,325.6920,3623.6660,145.0320,386.9160,2300
273542,2002,20030331,901.5840,1222.8430,41.5140,2363.8980,291.5270,0.0000,32.2450,34.4990,321.6250,648.6350,209.0450,369.3980,321.2490,95.9660,3707.0630,169.5500,290.7560,2300
273542,2003,20040331,2333.4690,3166.3540,307.6880,3530.9390,822.4080,418.2660,107.1740,,353.5540,1289.0310,,1196.1430,832.1950,411.5320,5421.7780,1365.7980,353.5540,2300
273542,2004,20050331,3135.1100,4204.1000,224.7620,4955.7700,1211.3960,706.0910,129.4720,129.4720,396.6980,1797.7890,-27.3410,1477.4940,1067.8610,594.5280,7240.4800,1701.3060,396.6980,2300
273542,2005,20060331,4611.1670,6484.8180,903.6190,5364.4350,1482.9250,805.6390,210.3110,210.3920,609.6920,2167.7130,32.2840,2455.5550,1840.8140,589.7950,8703.4120,2564.8770,609.6920,2300
273542,2006,20070331,5487.4740,8231.9170,830.7460,6088.0270,2065.4900,1004.5730,287.8900,287.9650,705.3100,3043.4540,416.6870,3603.1260,2711.9850,798.4550,10050.7500,2974.8280,705.3100,2300
273542,2007,20080331,6347.0550,9305.3130,652.6900,6098.7080,2777.2640,730.4160,366.0370,366.5000,478.2000,3980.2960,134.1530,4178.7180,2926.1590,866.8490,10098.2550,3587.5310,478.2000,2300
273542,2008,20090331,6412.7250,9242.3420,295.8060,6516.9460,3087.3790,569.0000,387.9410,387.9410,34.2540,4162.4700,757.1560,4430.5200,2798.0340,1105.6630,10957.6820,3750.0450,34.2540,2300
273542,2009,20100331,6511.0620,9128.4940,506.9370,7255.8190,3033.0790,425.1870,399.4170,399.4170,-18.2270,4047.8450,823.9610,4508.6180,2516.3850,1569.0780,10723.9470,3598.4290,-18.2270,2300
273542,2010,20110331,5392.4550,7969.6300,449.9840,7388.3780,2930.0170,246.9220,388.8900,388.8900,-847.6110,4037.7870,852.2850,4823.3400,2499.2830,1288.3740,10818.7940,4167.6250,-847.6110,2300
273542,2011,20120331,3471.0990,6165.7920,681.8300,6317.7640,2541.7530,52.6000,369.6080,369.6080,-1323.7840,3707.9300,1115.4280,4798.8190,2208.8540,839.4380,10242.5580,3831.6290,-1323.7840,2300
273542,2012,20130331,3925.7380,6425.0690,254.2000,5770.6310,3289.0240,0.0000,340.9490,340.9490,-1094.4090,5084.6360,-661.5150,4828.4550,1991.4580,1087.3190,9809.9890,4101.2160,-1094.4090,2300
273542,2013,20140331,4062.9250,6280.6300,387.6820,6338.6960,2522.2770,641.6000,272.8960,272.8960,-67.0090,4272.7920,400.3890,4668.3880,1684.6910,1368.6540,11311.8210,3906.1450,-67.0090,2300
273542,2014,20150331,4707.8570,6590.5950,739.5910,6083.6690,2872.2670,267.4000,332.0730,332.0730,346.8720,4706.2440,679.3850,4457.7590,1331.2050,1584.0400,10902.3150,4240.3600,346.8720,2300
273542,2015,20160331,5636.1130,7362.8890,2111.6210,6054.3120,3435.8590,0.0000,221.7520,221.7520,613.3600,5176.9310,825.0890,3979.6430,976.8030,1325.4360,11429.2340,3825.8310,613.3600,2300
273542,2016,20170331,5134.1880,6703.8870,1753.4690,4987.5950,3405.8480,0.0000,180.5970,180.5970,-491.0650,4928.6990,-46.5890,4087.7400,938.0400,1246.7740,9304.7490,3452.7790,-491.0650,2300
273542,2017,20180331,4970.0860,7810.9610,174.4700,5690.0420,4724.4960,0.0000,164.6450,164.6450,-310.0340,6464.9410,251.7400,1280.9760,944.4300,2656.1470,10318.6940,3793.0670,-310.0340,2300
273542,2018,20190331,5275.1770,8093.2930,111.8750,5513.8880,3807.0070,0.0000,192.2360,192.2360,255.7960,5648.2340,511.3990,1567.2280,1069.8680,1901.2780,11745.1910,4362.6360,255.7960,2300
273542,2019,20200331,5628.6470,9247.1860,478.0730,7153.3090,4121.5520,294.6020,548.1920,548.1920,303.8710,6640.9210,986.0260,2735.4030,1710.0220,1889.8490,13652.4480,4717.8390,303.8710,2300
273542,2020,20210331,5597.7890,9899.1910,520.7080,6276.7960,3741.0990,1043.9440,526.1500,526.1500,264.9160,5901.8700,1187.0840,3810.2690,2354.7550,2015.1620,12107.2730,3861.5430,264.9160,2300
273542,2021,20220331,8288.4730,12112.7200,1671.3610,9321.7450,875.1050,1055.3250,589.4820,589.4820,1170.8130,3908.8070,1171.9760,4805.1680,2962.0400,1586.8450,17903.1570,5539.1100,1170.8130,2300
274014,2000,20001231,1147.1760,3193.3070,35.3810,1922.7410,279.1900,1809.7320,213.5470,221.8120,40.3290,593.4300,71.9830,2739.4120,2030.9020,256.0360,2943.3570,403.9750,40.3290,2390
274014,2001,20020331,1594.6160,4646.9150,37.1570,2985.4010,423.3920,1728.8560,382.4710,410.3090,142.9410,695.8210,1038.5290,4751.5520,2878.9330,542.9430,4717.4910,684.3330,142.9410,2390
274014,2002,20021231,1740.9380,4550.1230,38.7170,1666.4490,178.7070,1393.1580,280.4570,306.2520,190.4610,473.7720,707.0870,4833.6410,2689.1960,634.4320,3064.1310,549.6370,249.5520,2390
274014,2003,20031231,2638.7000,5712.8000,142.4000,2675.3000,827.7000,1327.1000,381.4000,,355.6000,1265.1000,,5419.0000,2897.3000,872.0000,4630.9000,932.3000,355.6000,2390
274014,2004,20050331,2847.1000,8798.5000,293.6000,4178.3500,1148.4000,3515.5000,592.8500,615.8300,424.5000,1579.5000,1138.3800,8637.9000,5624.1000,391.4000,7068.3000,1471.2000,424.5000,2390
274014,2005,20060331,3643.7000,11827.4000,489.1000,4482.7000,2592.9000,4302.1000,614.6000,637.1000,572.1000,3377.6000,965.7000,11208.5000,7631.3000,359.0000,7442.8000,1351.0000,572.1000,2390
274014,2006,20070331,4263.3000,15454.7000,535.4000,4905.5000,3328.5000,6570.6000,799.3000,799.3000,408.6000,4217.9000,1081.6000,15021.8000,10696.5000,299.0000,8166.1000,1644.1000,408.6000,2390
274014,2007,20080331,5094.2000,20023.7000,890.6000,6907.3000,4031.5000,9070.6000,863.9000,863.9000,388.1000,5868.8000,1311.8000,19763.0000,14632.5000,386.6000,10486.7000,2122.8000,388.1000,2390
274014,2008,20090331,5661.3000,22964.5000,1149.5000,9032.6000,6446.9000,9122.2000,1159.4000,1159.4000,-533.2000,9065.4000,2052.7000,23270.8000,17040.5000,602.1000,13980.6000,2209.7000,-533.2000,2390
274014,2009,20100331,7210.0000,24939.1000,331.5000,11523.0000,7428.1000,9682.5000,1744.5000,1744.5000,563.2000,9541.7000,1148.6000,25283.8000,17410.5000,927.4000,18033.6000,3061.5000,563.2000,2390
274014,2010,20110331,10871.5000,28232.0000,73.3000,17659.0000,10393.4000,8764.0000,1946.8000,1946.8000,670.8000,13239.5000,743.3000,26664.8000,16873.3000,2017.7000,25374.6000,3634.0000,670.8000,2390
