gvkey,fyear,datadate,act,at,cogs,dltt,dp,oancf,ppegt,rect,sale,xsga,nicon
273542,2014,20150331,4707.8570,6590.5950,6083.6690,267.4000,332.0730,679.3850,4457.7590,1584.0400,10902.3150,4240.3600,346.8720
273542,2015,20160331,5636.1130,7362.8890,6054.3120,0.0000,221.7520,825.0890,3979.6430,1325.4360,11429.2340,3825.8310,613.3600
273542,2016,20170331,5134.1880,6703.8870,4987.5950,0.0000,180.5970,-46.5890,4087.7400,1246.7740,9304.7490,3452.7790,-491.0650
273542,2017,20180331,4970.0860,7810.9610,5690.0420,0.0000,164.6450,251.7400,1280.9760,2656.1470,10318.6940,3793.0670,-310.0340
273542,2018,20190331,5275.1770,8093.2930,5513.8880,0.0000,192.2360,511.3990,1567.2280,1901.2780,11745.1910,4362.6360,255.7960
273542,2019,20200331,5628.6470,9247.1860,7153.3090,294.6020,548.1920,986.0260,2735.4030,1889.8490,13652.4480,4717.8390,303.8710
273542,2020,20210331,5597.7890,9899.1910,6276.7960,1043.9440,526.1500,1187.0840,3810.2690,2015.1620,12107.2730,3861.5430,264.9160
273542,2021,20220331,8288.4730,12112.7200,9321.7450,1055.3250,589.4820,1171.9760,4805.1680,1586.8450,17903.1570,5539.1100,1170.8130
274014,2000,20001231,1147.1760,3193.3070,1922.7410,1809.7320,213.5470,71.9830,2739.4120,256.0360,2943.3570,403.9750,40.3290
274014,2001,20020331,1594.6160,4646.9150,2985.4010,1728.8560,382.4710,1038.5290,4751.5520,542.9430,4717.4910,684.3330,142.9410
274014,2002,20021231,1740.9380,4550.1230,1666.4490,1393.1580,280.4570,707.0870,4833.6410,634.4320,3064.1310,549.6370,249.5520
274014,2003,20031231,2638.7000,5712.8000,2675.3000,1327.1000,381.4000,,5419.0000,872.0000,4630.9000,932.3000,355.6000
274014,2004,20050331,2847.1000,8798.5000,4178.3500,3515.5000,592.8500,1138.3800,8637.9000,391.4000,7068.3000,1471.2000,424.5000
274014,2005,20060331,3643.7000,11827.4000,4482.7000,4302.1000,614.6000,965.7000,11208.5000,359.0000,7442.8000,1351.0000,572.1000
274014,2006,20070331,4263.3000,15454.7000,4905.5000,6570.6000,799.3000,1081.6000,15021.8000,299.0000,8166.1000,1644.1000,408.6000
274014,2007,20080331,5094.2000,20023.7000,6907.3000,9070.6000,863.9000,1311.8000,19763.0000,386.6000,10486.7000,2122.8000,388.1000
274014,2008,20090331,5661.3000,22964.5000,9032.6000,9122.2000,1159.4000,2052.7000,23270.8000,602.1000,13980.6000,2209.7000,-533.2000
274014,2009,20100331,7210.0000,24939.1000,11523.0000,9682.5000,1744.5000,1148.6000,25283.8000,927.4000,18033.6000,3061.5000,563.2000
274014,2010,20110331,10871.5000,28232.0000,17659.0000,8764.0000,1946.8000,743.3000,26664.8000,2017.7000,25374.6000,3634.0000,670.8000
274014,2011,20120331,9414.3000,32666.0000,19751.4000,12725.7000,2075.3000,4160.6000,33189.0000,2164.2000,27322.8000,3435.3000,-437.4000
274014,2012,20130331,11066.5000,32867.5000,22711.4000,9491.8000,2614.4000,3802.5000,34138.7000,2407.8000,33351.8000,4174.1000,493.1000
274014,2013,20140331,10984.8000,31814.9000,25447.9000,7658.6000,2684.1000,7468.5000,34934.9000,2677.7000,38689.6000,5385.7000,1940.2000
274014,2014,20150331,12372.2000,45070.0000,24552.2000,13961.0000,3213.2000,5762.3000,50480.6000,2067.8000,37553.3000,6169.9000,1178.6000
274014,2015,20160331,15070.8000,56637.3000,17546.6000,21365.0000,3376.4000,5287.9000,61617.5000,1795.7000,36840.2000,4573.3000,2269.2000
274014,2016,20170331,15094.8000,61865.0000,23160.0000,17462.9000,4125.0000,10162.8000,51733.4000,3782.8000,46944.2000,6129.7000,3372.2000
274014,2017,20180331,18307.8000,63311.7000,23016.2000,14107.8000,4041.3000,4762.4000,53603.4000,6043.9000,45575.4000,5526.0000,2640.3000
274014,2018,20190331,20369.0000,61560.7000,24599.3000,9536.2000,3640.0000,6557.0000,52974.3000,7812.7000,52486.0000,6353.5000,3717.7000
274014,2019,20200331,17519.3000,57764.8000,21738.7000,7214.6000,3336.9000,12137.0000,56002.9000,3765.0000,47276.7000,6165.5000,3397.0000
274014,2020,20210331,18320.6000,57716.5000,20448.5000,2805.2000,3368.5000,5049.3000,59337.9000,5150.9000,45306.2000,6082.5000,3043.9000
274014,2021,20220331,25489.0000,64891.3000,33788.6000,3336.7000,3328.0000,9025.8000,62009.4000,6158.7000,69976.6000,7057.3000,8337.5000
274678,2000,20010331,54.9160,95.4560,134.7230,21.1860,2.6160,4.8610,43.9770,25.5890,159.5370,12.3320,5.0070
274678,2001,20020331,99.6230,148.5930,256.2220,20.9580,4.4670,10.2240,56.5780,52.8210,295.3380,19.6600,8.3200
274678,2002,20030331,172.7180,222.6590,416.7680,14.8200,5.1630,,61.8090,97.1060,479.1350,31.3310,10.9710
274678,2003,20040331,229.0660,282.9830,415.6160,20.1000,5.9380,40.3740,71.3970,159.9880,506.0990,43.1830,17.0610
274678,2004,20050331,685.2350,984.4240,856.4980,68.0920,18.8390,-252.3630,363.0920,208.1410,1072.9050,99.9410,72.6210
274678,2005,20060331,1584.2200,2887.7800,1657.4900,693.3600,29.8700,-427.3100,1301.6700,633.2200,1989.8000,0.0000,178.8400
274678,2006,20070331,5653.6920,9299.5180,3414.2870,1851.0700,105.1740,-845.6210,3765.1380,1022.4630,4888.2500,540.1350,539.6680
274678,2007,20080331,8467.8920,16899.3140,7130.6500,5739.7570,351.6820,-1775.7290,8901.9030,2320.5170,10890.5190,1441.4100,1227.4780
274678,2008,20090331,11951.0210,32698.4450,9546.0490,12232.5800,512.5200,159.6420,16793.8220,3638.0330,15145.1310,2210.0970,1366.7180
274678,2009,20100331,15974.4200,47257.9790,11110.3050,14148.9320,822.6570,-195.1990,26592.1410,3909.9350,18014.5410,2961.3180,1615.9150
274678,2010,20110331,23199.1230,64380.3250,17761.1440,18803.0580,1674.1370,573.2200,41802.9290,4917.0220,26909.0050,3656.3820,2028.1870
274678,2011,20120331,29762.5000,73287.2000,17205.3000,13075.6000,2337.2000,2282.6000,46343.2000,4334.4000,29020.9000,4125.7000,1668.6000
274678,2012,20130331,36262.1000,80521.7000,19981.4000,14933.5000,2905.4000,3959.2000,50776.7000,6742.4000,33019.5000,4485.0000,1293.6000
274678,2013,20140331,40095.6000,81895.9000,21040.0000,27908.9000,3162.2000,-8391.6000,50821.4000,8660.5000,29945.8000,4664.8000,-4833.9000
274678,2014,20150331,45479.9000,85722.2000,26268.6000,27417.3000,1772.8000,5232.5000,50582.9000,11012.6000,35814.3000,3894.9000,-1323.1000
274678,2015,20160331,52983.6000,89867.8000,26669.7000,25503.9000,1763.1000,6870.3000,49229.2000,13702.5000,42040.6000,3072.5000,540.0000
274678,2016,20170331,56204.7000,93523.0000,24867.5000,16653.4000,1665.5000,-2781.9000,50549.9000,15232.2000,38948.6000,2921.8000,-1622.8000
274678,2017,20180331,58126.2000,93389.9000,21341.8000,12332.5000,1598.8000,-991.5000,50651.0000,17274.0000,30992.5000,3338.2000,-2856.3000
274678,2018,20190331,40106.6000,79504.3000,20212.4000,11051.0000,1596.5000,293.4000,49552.9000,14483.3000,9736.5000,2643.9000,-16907.0000
274678,2019,20200331,23380.8000,66308.8000,17468.0000,10416.9000,1384.0000,-46.7000,42176.8000,14140.7000,4884.9000,1574.5000,-18292.4000
274678,2020,20210331,19435.0000,61372.1000,1524.3000,10045.3000,1039.4000,3656.0000,24052.9000,12060.0000,1087.7000,526.6000,-1053.9000
274678,2021,20220331,8344.1000,49480.1000,5319.2000,9122.0000,1168.0000,-15825.6000,31072.3000,3167.5000,7775.4000,1491.2000,-12546.3000
275154,2000,20010331,189.6500,313.8000,220.7500,88.8900,17.6700,37.0800,167.7200,54.8900,267.0600,42.2300,13.2000
275154,2001,20020331,166.0200,290.9900,301.0500,59.4300,17.1800,52.7400,176.6300,53.7200,346.1700,40.6400,9.8600
275154,2002,20030331,266.4300,416.5200,349.3000,112.4900,17.6500,0.7800,216.3400,74.4000,406.1600,48.8600,11.0400
275154,2003,20040331,651.3200,840.8600,748.6900,221.0200,29.4100,-31.7100,335.1300,228.7600,990.3400,134.0900,48.4300
275154,2004,20050331,811.9900,1067.6200,821.0300,288.8100,19.4400,66.0700,422.0600,230.8000,1327.4800,356.1600,58.0100
275154,2005,20060331,2245.8240,3126.8070,872.8450,731.8610,38.3390,-392.1960,747.1040,322.3760,1579.8790,511.0710,97.0680
275154,2006,20070331,1908.4400,3910.5520,2177.3330,885.4820,94.2380,82.6980,1826.0770,479.0640,3328.9800,962.0740,-55.0170
275154,2007,20080331,2297.5470,4141.1790,2186.1750,761.3130,101.3880,-38.8480,1852.5840,681.9750,3323.4200,1080.7710,-195.9920
275154,2008,20090331,1300.7860,3603.1380,2322.2530,1242.2350,87.3890,-613.4170,1479.6210,691.4990,2300.3950,936.3300,-1193.4310
275154,2009,20100331,1532.7540,3863.2770,2034.0850,1653.0050,99.4350,135.7120,1422.3590,613.1040,2940.8950,834.4870,-122.2780
275154,2010,20110331,822.7960,2149.8330,1466.2840,1419.0500,87.5850,429.6810,1224.0310,287.3030,1886.9150,473.6420,-195.0860
275154,2011,20120331,628.9000,1405.6000,1312.2000,980.3000,71.6000,219.9000,1190.0000,259.0000,1903.7000,484.4000,-136.7000
275154,2012,20130331,636.1000,1359.8000,1238.8000,1049.5000,65.9000,44.7000,1189.4000,382.5000,1863.7000,550.8000,-46.8000
275154,2013,20140331,680.5000,1397.4000,1378.2000,428.0000,50.7000,,,354.8000,2213.8000,481.8000,-16.3000
275154,2014,20150331,504.5000,1165.8000,1211.2000,272.7000,68.0000,106.4000,1079.9000,200.2000,2058.7000,724.8000,-22.9000
275154,2015,20160331,783.4000,1312.5000,1050.1000,243.5000,80.5000,0.4000,936.1000,384.4000,1972.1000,580.3000,214.0000
275154,2016,20170331,706.2000,1183.4000,1018.4000,228.1000,70.1000,10.5000,858.7000,333.1000,1911.7000,573.8000,-134.1000
275154,2017,20180331,871.3000,1277.4000,1111.3000,454.1000,68.9000,5.0000,420.0000,416.3000,2035.4000,602.8000,-8.8000
275154,2018,20190331,975.2000,1338.6000,1255.5000,426.9000,58.5000,146.1000,412.2000,403.9000,2313.9000,615.9000,32.4000
275154,2019,20200331,993.8000,1450.8000,1225.6000,384.3000,93.0000,174.6000,611.4000,330.6000,2325.0000,606.2000,168.4000
275154,2020,20210331,1237.9000,1574.9000,1400.9000,401.1000,67.3000,-65.8000,475.1000,579.4000,2327.7000,551.9000,-55.7000
275154,2021,20220331,1519.7000,1809.9000,2044.3000,291.6000,73.1000,122.8000,458.3000,711.6000,3276.9000,658.0000,87.8000
278270,1999,20000331,185.1810,371.8700,250.5840,144.2760,17.2050,18.2310,234.1820,75.6410,394.6610,64.2000,40.4730
278270,2000,20010331,300.5330,504.0840,404.4880,197.1610,21.3730,-7.4330,267.6690,103.2990,584.8330,76.3310,58.9250
278270,2001,20020331,378.0340,678.0850,448.1300,180.0130,22.7810,9.1420,366.2740,125.9010,665.2620,97.3660,63.0210
278270,2002,20030331,431.4240,969.3340,565.1320,283.6440,49.1650,126.7520,698.3430,146.6750,874.4620,145.6150,66.5070
278270,2003,20040331,641.5360,1161.2940,820.3070,319.6220,49.2340,-0.5920,696.3610,266.2170,989.1590,0.0000,67.9950
278270,2004,20050331,802.6590,1474.1100,846.8310,481.2870,52.6350,91.5130,895.8450,316.1120,1210.5450,143.9160,90.7670
278270,2005,20060331,1093.1070,1875.5660,913.3040,536.6440,57.7960,9.9610,1058.8550,370.8770,1396.6890,220.8730,110.2040
278270,2006,20070331,1517.8280,2874.0210,1073.6970,981.3810,80.4510,4.7930,1800.4940,546.8280,1721.0200,273.0040,135.1420
278270,2008,20080930,1772.8720,4292.9690,2475.6410,2391.2690,159.1680,-81.8600,2566.1750,568.3130,2535.3220,549.6990,-647.2360
278270,2009,20090930,1873.2000,4354.0170,979.9030,2851.8330,121.5330,121.1100,2373.3650,470.5900,1376.0550,326.7660,-116.5900
278270,2009,20100331,1834.7490,4214.7030,630.0940,2536.3330,64.3910,-16.8470,2315.9780,471.9350,834.8440,185.0000,-14.3390
278270,2010,20110331,1749.2290,4149.5710,1377.9400,1648.3980,124.9660,125.7550,2410.2850,522.3290,1858.5870,362.1670,-33.5140
278270,2011,20120331,1657.3970,3529.5800,1690.4080,1234.2920,126.2980,349.7230,2023.3840,1142.4700,2131.6760,307.9230,-92.2640
278270,2012,20130331,1605.2730,3270.9610,1899.9090,1024.0160,130.9590,483.7420,2042.5270,1112.3980,2412.7390,331.1590,-338.4440
278270,2013,20140331,1549.7660,3060.7750,2105.8350,134.4560,113.9720,615.9470,2033.3450,1100.2460,2732.1830,380.6290,-76.7360
278270,2014,20150331,1326.5070,2732.2240,1958.1470,375.5160,186.5750,294.2890,2081.1810,875.2700,2715.4530,450.0980,109.8550
278270,2015,20160331,812.3370,2134.0840,1475.6960,483.0620,145.9950,218.4120,2071.7870,449.3860,2553.6650,307.6940,172.7490
278270,2016,20170331,761.0490,1969.3420,1350.5420,348.6180,81.8900,360.7120,2259.3850,337.0920,2382.7900,317.5000,-173.9010
278270,2017,20180331,886.4060,1996.2250,1522.6980,365.7950,85.2800,201.4670,1233.8460,361.4670,2570.2900,345.0060,-59.2860
278270,2018,20190331,979.5460,1955.7070,1635.1430,218.8630,87.4150,194.4180,1190.1100,378.6070,2739.6700,346.9130,41.9670
278270,2019,20200331,837.0530,1726.6870,1351.8570,133.2580,87.1210,256.2760,1166.4870,263.8570,2383.7160,323.5010,84.4750
278270,2020,20210331,964.2080,1884.1490,1158.8680,118.7910,81.6300,181.6590,1193.1610,302.5180,2259.6960,295.3970,192.5830
278270,2021,20220331,1060.1690,1990.5510,1653.5380,101.1240,80.8090,133.7680,1321.1970,309.0160,2921.6470,353.2130,110.4480
278274,2001,20010930,148.4640,174.6960,143.0860,3.5750,1.6660,-51.1430,28.7400,43.2090,208.5200,41.3510,15.2210
278274,2002,20020930,183.2660,221.1640,167.9070,24.6230,3.6730,4.4060,43.2990,49.4050,267.2390,69.0860,16.5510
278274,2003,20030930,229.1650,386.8290,219.9790,42.9710,6.6540,,84.2390,44.1410,391.4680,86.4450,18.7620
278274,2003,20040331,312.8380,406.6310,143.8530,103.6050,5.7790,,108.9800,54.8580,263.0980,89.7820,88.0620
278274,2004,20050331,780.2160,945.1450,751.3240,125.5060,17.8810,-266.7630,193.2230,392.0930,1129.4910,240.5980,72.3410
278274,2005,20060331,1571.6800,1937.3320,1022.1100,235.5370,34.7840,-319.3000,319.7260,357.3050,1597.3280,319.6900,128.7190
278274,2006,20070331,2434.8210,4091.3660,1541.8910,148.5590,48.4940,-291.0550,693.1090,522.6570,2390.2440,466.8070,192.5760
278274,2007,20080331,4087.2460,8883.0130,2091.4780,1102.2730,84.3990,118.0280,4159.1190,803.6890,3378.1630,756.6100,253.9400
278274,2008,20090331,7354.9960,13757.0380,2330.4540,1427.1340,112.5560,-662.0060,5612.5960,2657.7810,3635.6350,869.1270,592.0210
278274,2009,20100331,7631.0480,15339.4480,3461.8060,2532.5380,146.4050,-598.1250,6923.8620,3064.0740,4932.8900,896.9950,209.8880
278274,2010,20110331,9464.5130,18023.8530,5098.5150,1629.9750,281.1330,-522.5890,7298.4090,3609.5590,6900.6180,936.0960,261.7770
278274,2011,20120331,8411.0790,10296.3490,6334.6640,425.4900,138.0470,-436.6980,1190.7690,4662.6160,7880.4990,810.9900,216.6690
278274,2012,20130331,8325.8290,10346.7580,6290.2450,603.3450,122.0500,485.5490,1120.1040,4254.8970,7833.4250,721.1660,202.2220
278274,2013,20140331,9804.8100,11663.4660,6995.0070,881.7320,93.8530,-1453.2960,1083.8650,3503.1720,8302.2800,612.3030,-52.4720
278274,2014,20150331,8733.6200,10447.1950,7236.8970,756.5460,95.8740,791.4060,1087.0630,2922.3620,7342.8570,460.7180,-748.3970
278274,2015,20160331,5490.6080,7087.1070,5886.7610,601.9040,68.2190,1425.9390,851.8450,1596.1270,5105.1400,162.4990,-1983.3600
278274,2016,20170331,3490.0970,5014.9560,3580.0520,262.7430,55.8780,803.5230,425.0840,922.1170,2676.5440,105.6650,-1948.3230
278274,2017,20180331,1403.3600,2697.3170,1926.6800,286.3890,36.9830,-25.3350,415.2030,758.9240,1268.5030,92.9480,-1725.5430
278274,2018,20190331,974.5090,1802.3340,647.8270,0.0000,14.4960,-36.2600,,719.1140,897.5330,72.9110,-924.4760
282779,2001,20020331,475.9720,1001.5290,710.0530,227.8080,25.2990,,663.6210,161.3450,786.2050,117.7210,9.4250
282779,2002,20030331,534.4030,1019.0060,819.3870,190.8300,23.6160,90.7570,638.4850,111.2580,920.8070,126.9180,49.7890
282779,2003,20040331,592.3410,1104.6980,856.7720,220.6190,23.7430,18.4600,673.6370,81.2650,954.4960,110.5540,69.7010
282779,2004,20050331,831.6630,1342.8810,1109.7220,298.2850,26.9010,-124.8990,662.7810,249.6670,1210.5760,130.9540,-38.5020
282779,2005,20060331,1931.9490,3404.9050,1177.2570,1323.3240,27.6790,132.8550,1716.8520,1000.5540,1588.9370,333.4340,124.6010
282779,2006,20070331,3856.0110,7543.0370,6402.1570,609.6510,117.6630,115.5320,2209.2730,1644.8230,9154.0040,1897.1590,477.7130
